b'win',b'lose',b'probability'
Los Angeles Clippers,Memphis Grizzlies,0.807536609524
Detroit Pistons,New York Knicks,0.598695576452
Oklahoma City Thunder,Houston Rockets,0.810852246177
Orlando Magic,New Orleans Pelicans,0.664947305644
Washington Wizards,Philadelphia 76ers,0.843095372405
San Antonio Spurs,Sacramento Kings,0.851714112848
Golden State Warriors,Toronto Raptors,0.640089769587
Portland Trail Blazers,Houston Rockets,0.615295324813
Miami Heat,Milwaukee Bucks,0.819997047732
Minnesota Timberwolves,Philadelphia 76ers,0.835301927873
Utah Jazz,Chicago Bulls,0.642438241506
Washington Wizards,New York Knicks,0.744472068768
Golden State Warriors,Boston Celtics,0.729317386814
Charlotte Hornets,Atlanta Hawks,0.579378321949
Cleveland Cavaliers,Detroit Pistons,0.830516580943
Dallas Mavericks,Memphis Grizzlies,0.682796608677
Toronto Raptors,Denver Nuggets,0.762567467519
Indiana Pacers,Phoenix Suns,0.854487196328
San Antonio Spurs,Los Angeles Lakers,0.937979466211
Portland Trail Blazers,New Orleans Pelicans,0.78905722597
Oklahoma City Thunder,Brooklyn Nets,0.948791709188
Los Angeles Clippers,Sacramento Kings,0.697669145439
Boston Celtics,Detroit Pistons,0.511594949247
Houston Rockets,Utah Jazz,0.590192567323
Los Angeles Clippers,Chicago Bulls,0.773026692704
Memphis Grizzlies,Minnesota Timberwolves,0.629258096518
Golden State Warriors,Milwaukee Bucks,0.903012084995
Charlotte Hornets,New Orleans Pelicans,0.712919856938
Dallas Mavericks,Orlando Magic,0.509512358959
Phoenix Suns,Philadelphia 76ers,0.628684310836
Miami Heat,Washington Wizards,0.523087029343
Portland Trail Blazers,Brooklyn Nets,0.88018738625
Utah Jazz,Denver Nuggets,0.590152535807
Chicago Bulls,Los Angeles Lakers,0.728725281424
Atlanta Hawks,New York Knicks,0.684776102708
Oklahoma City Thunder,Indiana Pacers,0.775012059445
Toronto Raptors,Sacramento Kings,0.737387167825
Charlotte Hornets,Memphis Grizzlies,0.764105402755
Detroit Pistons,Houston Rockets,0.583803307607
Golden State Warriors,Indiana Pacers,0.769240081525
Los Angeles Clippers,Toronto Raptors,0.553064413846
Orlando Magic,Milwaukee Bucks,0.500984226206
Boston Celtics,Minnesota Timberwolves,0.693531168873
